"file","query","rel","docno"
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.3.out","EA4","yes",13
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.3.out","EA5","unjudged",29
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.3.out","EA5","yes",21
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.3.out","EA6","no",4
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.3.out","EA6","unjudged",39
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.3.out","EA6","yes",7
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA1","unjudged",42
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA1","yes",8
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA2","no",11
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA2","unjudged",33
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA2","yes",6
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA3","unjudged",50
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA4","no",3
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA4","unjudged",33
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA4","yes",14
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA5","unjudged",28
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA5","yes",22
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA6","no",4
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA6","unjudged",38
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.4.out","EA6","yes",8
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.5.out","EA1","unjudged",42
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.5.out","EA1","yes",8
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.5.out","EA2","no",11
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.5.out","EA2","unjudged",33
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.5.out","EA2","yes",6
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.5.out","EA3","unjudged",50
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.5.out","EA4","no",4
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.5.out","EA4","unjudged",32
"./output/rm3/train/short/mu=10000:fbTerms=10:fbDocs=10:fbOrigWeight=0.5.out","EA4","yes",14
