"file","query","rel","docno"
"./output/dir/train/short/10000.out","EA1","unjudged",42
"./output/dir/train/short/10000.out","EA1","yes",8
"./output/dir/train/short/10000.out","EA2","no",11
"./output/dir/train/short/10000.out","EA2","unjudged",34
"./output/dir/train/short/10000.out","EA2","yes",5
"./output/dir/train/short/10000.out","EA3","unjudged",46
"./output/dir/train/short/10000.out","EA3","yes",4
"./output/dir/train/short/10000.out","EA4","no",4
"./output/dir/train/short/10000.out","EA4","unjudged",36
"./output/dir/train/short/10000.out","EA4","yes",10
"./output/dir/train/short/10000.out","EA5","unjudged",26
"./output/dir/train/short/10000.out","EA5","yes",24
"./output/dir/train/short/10000.out","EA6","no",4
"./output/dir/train/short/10000.out","EA6","unjudged",36
"./output/dir/train/short/10000.out","EA6","yes",10
"./output/dir/train/short/1000.out","EA1","unjudged",43
"./output/dir/train/short/1000.out","EA1","yes",7
"./output/dir/train/short/1000.out","EA2","no",10
"./output/dir/train/short/1000.out","EA2","unjudged",34
"./output/dir/train/short/1000.out","EA2","yes",6
"./output/dir/train/short/1000.out","EA3","no",1
"./output/dir/train/short/1000.out","EA3","unjudged",46
"./output/dir/train/short/1000.out","EA3","yes",3
"./output/dir/train/short/1000.out","EA4","no",5
"./output/dir/train/short/1000.out","EA4","unjudged",32
"./output/dir/train/short/1000.out","EA4","yes",13
"./output/dir/train/short/1000.out","EA5","unjudged",25
"./output/dir/train/short/1000.out","EA5","yes",25
"./output/dir/train/short/1000.out","EA6","no",5
"./output/dir/train/short/1000.out","EA6","unjudged",36
"./output/dir/train/short/1000.out","EA6","yes",9
"./output/dir/train/short/2500.out","EA1","unjudged",43
"./output/dir/train/short/2500.out","EA1","yes",7
"./output/dir/train/short/2500.out","EA2","no",11
"./output/dir/train/short/2500.out","EA2","unjudged",33
"./output/dir/train/short/2500.out","EA2","yes",6
"./output/dir/train/short/2500.out","EA3","unjudged",47
"./output/dir/train/short/2500.out","EA3","yes",3
"./output/dir/train/short/2500.out","EA4","no",3
"./output/dir/train/short/2500.out","EA4","unjudged",37
"./output/dir/train/short/2500.out","EA4","yes",10
"./output/dir/train/short/2500.out","EA5","unjudged",22
"./output/dir/train/short/2500.out","EA5","yes",28
"./output/dir/train/short/2500.out","EA6","no",5
"./output/dir/train/short/2500.out","EA6","unjudged",36
"./output/dir/train/short/2500.out","EA6","yes",9
"./output/dir/train/short/250.out","EA1","unjudged",44
"./output/dir/train/short/250.out","EA1","yes",6
"./output/dir/train/short/250.out","EA2","no",9
"./output/dir/train/short/250.out","EA2","unjudged",34
"./output/dir/train/short/250.out","EA2","yes",7
"./output/dir/train/short/250.out","EA3","no",3
"./output/dir/train/short/250.out","EA3","unjudged",44
"./output/dir/train/short/250.out","EA3","yes",3
"./output/dir/train/short/250.out","EA4","no",3
"./output/dir/train/short/250.out","EA4","unjudged",35
"./output/dir/train/short/250.out","EA4","yes",12
"./output/dir/train/short/250.out","EA5","unjudged",24
"./output/dir/train/short/250.out","EA5","yes",26
"./output/dir/train/short/250.out","EA6","no",6
"./output/dir/train/short/250.out","EA6","unjudged",34
"./output/dir/train/short/250.out","EA6","yes",10
"./output/dir/train/short/5000.out","EA1","unjudged",43
"./output/dir/train/short/5000.out","EA1","yes",7
"./output/dir/train/short/5000.out","EA2","no",9
"./output/dir/train/short/5000.out","EA2","unjudged",35
"./output/dir/train/short/5000.out","EA2","yes",6
"./output/dir/train/short/5000.out","EA3","unjudged",46
"./output/dir/train/short/5000.out","EA3","yes",4
"./output/dir/train/short/5000.out","EA4","no",4
"./output/dir/train/short/5000.out","EA4","unjudged",36
"./output/dir/train/short/5000.out","EA4","yes",10
"./output/dir/train/short/5000.out","EA5","unjudged",23
"./output/dir/train/short/5000.out","EA5","yes",27
"./output/dir/train/short/5000.out","EA6","no",4
"./output/dir/train/short/5000.out","EA6","unjudged",37
"./output/dir/train/short/5000.out","EA6","yes",9
"./output/dir/train/short/500.out","EA1","unjudged",43
"./output/dir/train/short/500.out","EA1","yes",7
"./output/dir/train/short/500.out","EA2","no",10
"./output/dir/train/short/500.out","EA2","unjudged",35
"./output/dir/train/short/500.out","EA2","yes",5
"./output/dir/train/short/500.out","EA3","no",1
"./output/dir/train/short/500.out","EA3","unjudged",46
"./output/dir/train/short/500.out","EA3","yes",3
"./output/dir/train/short/500.out","EA4","no",3
"./output/dir/train/short/500.out","EA4","unjudged",35
"./output/dir/train/short/500.out","EA4","yes",12
"./output/dir/train/short/500.out","EA5","unjudged",26
"./output/dir/train/short/500.out","EA5","yes",24
"./output/dir/train/short/500.out","EA6","no",5
"./output/dir/train/short/500.out","EA6","unjudged",35
"./output/dir/train/short/500.out","EA6","yes",10
"./output/dir/train/short/50.out","EA1","unjudged",44
"./output/dir/train/short/50.out","EA1","yes",6
"./output/dir/train/short/50.out","EA2","no",11
"./output/dir/train/short/50.out","EA2","unjudged",34
"./output/dir/train/short/50.out","EA2","yes",5
"./output/dir/train/short/50.out","EA3","no",3
"./output/dir/train/short/50.out","EA3","unjudged",44
"./output/dir/train/short/50.out","EA3","yes",3
"./output/dir/train/short/50.out","EA4","no",4
"./output/dir/train/short/50.out","EA4","unjudged",35
"./output/dir/train/short/50.out","EA4","yes",11
"./output/dir/train/short/50.out","EA5","unjudged",27
"./output/dir/train/short/50.out","EA5","yes",23
"./output/dir/train/short/50.out","EA6","no",6
"./output/dir/train/short/50.out","EA6","unjudged",34
"./output/dir/train/short/50.out","EA6","yes",10
