"file","query","rel","docno"
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA1","unjudged",92
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA1","yes",8
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA2","no",22
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA2","unjudged",71
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA2","yes",7
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA3","unjudged",96
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA3","yes",4
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA4","no",8
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA4","unjudged",76
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA4","yes",16
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA5","unjudged",72
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA5","yes",28
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA6","no",5
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA6","unjudged",84
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA6","yes",11
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA1","unjudged",92
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA1","yes",8
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA2","no",23
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA2","unjudged",70
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA2","yes",7
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA3","unjudged",96
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA3","yes",4
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA4","no",9
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA4","unjudged",74
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA4","yes",17
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA5","unjudged",67
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA5","yes",33
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA6","no",6
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA6","unjudged",83
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA6","yes",11
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.2.out","EA1","unjudged",92
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.2.out","EA1","yes",8
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.2.out","EA2","no",24
